Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
3.14285714285714,3.25,3.5,3.6,3,3.5,4,2.25,3.33333333333333,170
3.14285714285714,3,3.25,4,2,4.25,4.66666666666667,2.75,1,731.605263157895
2.57142857142857,2.5,3,3.8,2.25,3.5,4.66666666666667,3,2.66666666666667,239.514925373134
4,2.75,3,4,2,4.25,4.66666666666667,2.5,3.33333333333333,244.434782608696
3.57142857142857,3,2.75,3.8,1.75,3.5,4,3.25,2.33333333333333,NaN
3.28571428571429,2.75,2.25,3,2,3.75,4,2.75,2.66666666666667,660.583333333333
3,3.25,3,3,3,3,4,2.75,2.66666666666667,2642.83333333333
2.57142857142857,2.75,3.25,3.4,2.5,3.75,4.33333333333333,2.75,3.33333333333333,192.385057471264
2.14285714285714,3,3.5,3.4,1.75,3.25,3,1.25,1.66666666666667,292.136363636364
3.71428571428571,3,2.25,3,1.5,3.75,5,3.25,3,625.107142857143
2.14285714285714,3.5,4,3.4,3.25,3,4.66666666666667,1.5,3.33333333333333,331.663043478261
2.28571428571429,4,3.75,4,2.25,3.75,2.66666666666667,1.5,2,514.387096774194
3.71428571428571,2.5,3,3.8,1.5,3,3,3,3.33333333333333,701.8
2.57142857142857,2,2,3,3.75,3,5,3.75,3.66666666666667,275.774193548387
3.28571428571429,3.25,2.25,3.2,2.5,4,5,1.75,3,705.833333333333
2.42857142857143,3,4,3,3,3,4,1.5,3,671.625
3.14285714285714,2.5,2.5,3.6,2.5,3.25,4.66666666666667,1.25,2.33333333333333,768.85
2,2.25,2.75,2.2,2.75,3.5,3.66666666666667,2.75,2.66666666666667,685.184210526316
2.28571428571429,2.75,2.75,3.2,3.25,3.25,4.33333333333333,2.75,3.33333333333333,49.7702702702703
3.42857142857143,3,3,3.8,2.25,3.5,4,3.25,3,659.717391304348
3.85714285714286,2.75,2.5,4,2.25,3.75,3.66666666666667,2.25,3,615.4
3.28571428571429,2.25,2.5,4,2.5,3.75,4.66666666666667,2,2.33333333333333,417.405405405405
2.85714285714286,2.25,2.75,3,3,4,4,2,3.33333333333333,297.435483870968
3.42857142857143,2,2.5,3.8,2.5,3.5,5,3.5,3.33333333333333,359.868421052632
3.42857142857143,2.75,2.5,3,2.5,3,4.33333333333333,3,2.33333333333333,854.166666666667
3.85714285714286,2.5,2.5,3.8,2.25,3.5,5,3.25,4,330.114583333333
3.14285714285714,3,3,3.4,3,3.5,4,1.5,2.66666666666667,621.892857142857
3.28571428571429,2.75,3,3.8,2.25,4,4.33333333333333,2,3,498.232142857143
3.28571428571429,3,3.5,4,2.5,3.25,4,2,3.66666666666667,368.176470588235
3.28571428571429,3.25,4,3.4,3,3.5,4,1.75,3,239.352941176471
3.42857142857143,2,3,2.8,2.75,2.75,4,2.75,3,302.388888888889
3.85714285714286,2.25,3,3.2,2.25,3.25,4.33333333333333,2.75,3,1535.83333333333
3.14285714285714,2.75,3,3.4,3,3.25,3.66666666666667,1.5,2.66666666666667,518.634615384615
3.28571428571429,3,3.75,3,2.25,3.75,4,1.75,2,388.22972972973
1.71428571428571,4,4,4,3.5,4,5,1,3.66666666666667,970.461538461538
3.42857142857143,2.25,3.25,3.6,2.25,4,3.33333333333333,2.5,2.33333333333333,125.141791044776
2.71428571428571,3,3,3,3,3,3,3,3,468.370967741935
2.71428571428571,2.5,3,3.2,2.5,3.5,4.33333333333333,2.5,3,404.1
2.71428571428571,3,2.75,3.8,2.25,3.25,3.66666666666667,2.25,2.66666666666667,2543.5
2.57142857142857,3.25,3.5,3.4,2.5,4,3.66666666666667,1.5,3,431.426470588235
3.14285714285714,2.75,3,3.4,2.5,3.5,4.33333333333333,2.75,2.33333333333333,285.724137931034
3.28571428571429,3.25,3,3.4,2,3.75,4,2,2,652.55
2.85714285714286,1.75,2.75,3.2,2.75,4,4.33333333333333,2,3.66666666666667,1163.08333333333
3.57142857142857,4,4,4,1.75,4,4.33333333333333,1.25,1,324.78431372549
2.85714285714286,2.5,2.75,3,2.5,3.25,4,1.75,2,467.946428571429
2.85714285714286,2,2.75,2.8,2.5,3.25,4,2.25,2.66666666666667,1374.13636363636
3.57142857142857,2,2.75,2.8,1.75,3.5,3.66666666666667,2.75,2.66666666666667,273.309090909091
3.85714285714286,2.5,2.75,3.6,3.25,3.5,4.66666666666667,2.25,4,1180
2,3,2.75,3.2,2.75,3.5,4.66666666666667,2,2.66666666666667,1387
2.57142857142857,3,3.25,3.2,2,3.25,3.33333333333333,2.5,2.66666666666667,308.41
