id,condition,k,k2
12,1,0.040989187,0.044173811
13,1,0.10683283,0.12187038
14,2,0.071530327,0.071569987
15,3,0.11588078,0.11278465
16,2,0.11054538,0.11929709
17,4,0.050257444,0.061848171
18,1,0.056751091,0.068479516
20,2,0.02870483,0.028540308
21,4,0.072157241,0.070359908
22,2,0.063664332,0.069699049
23,3,0.11931462,0.11493117
24,4,0.11757749,0.11902388
25,3,0.12357517,0.11086132
26,4,0.1160784,0.11705118
27,2,0.040017083,0.036192678
28,1,0.046473999,0.052650418
29,2,0.023139501,0.020115433
30,4,0.051150121,0.057771128
31,2,0.040541548,0.038772885
32,1,0.018448509,0.023784598
33,4,0.089647189,0.041654326
34,2,0.11510827,0.11775877
35,3,0.014610481,0.018079635
36,4,0.076005928,0.072216272
37,3,0.042777546,0.026147565
38,4,0.075671509,0.077029511
39,1,0.03582108,0.018083634
40,2,0.080871463,0.063629106
41,4,0.05314805,0.035867833
44,4,0.044808216,0.036084391
46,4,0.11942797,0.12205892
47,3,0.12363312,0.10940384
48,2,0.056770045,0.070702098
49,1,0.051720124,0.068557933
50,2,0.099340424,0.099526055
52,3,0.11432669,0.22007999
54,4,0.11349798,0.11707918
55,2,0.091217369,0.085286863
56,4,0.030474784,0.030290578
57,2,0.049543463,0.031815603
59,2,0.11557053,0.11593572
60,4,0.042190716,0.030399378
61,4,0.019337647,0.01634573
62,2,0.024822537,0.016154887
63,3,0.016458619,0.013779943
64,2,0.051374536,0.04569887
65,1,0.026628369,0.01535408
66,3,0.06696289,0.06215154
67,1,0.10692736,0.11204193
68,4,0.1150535,0.11812302
69,2,0.08776585,0.058102023
72,1,0.11108004,0.11755935
73,2,0.071119934,0.12087892
74,4,0.11385719,0.063031159
75,3,0.10534895,0.048873495
76,3,0.11249283,0.072580129
77,4,0.032799404,0.036045793
78,1,0.017420065,0.015737923
79,2,0.063192584,0.034690753
80,4,0.050186098,0.035923958
81,3,0.046555102,0.036206849
82,3,0.079199813,0.092064396
84,1,0.068806626,0.067502663
85,3,0.10753749,0.11830989
86,2,0.044767473,0.05050458
89,2,0.024462026,0.01526341
91,1,0.12011679,0.11915875
95,3,0.083215967,0.070360698
96,2,0.08595179,0.12037235
97,3,0.12362169,0.11761558
98,4,0.015812429,0.023233913
99,2,0.038460653,0.037472889
100,1,0.11774491,0.11716522
101,2,0.037158184,0.031164175
103,4,0.013236044,0.014194911
104,4,0.014664731,0.014489333
105,4,0.070551433,0.066908091
106,1,0.044424374,0.035424013
107,1,0.12329121,0.11938948
108,1,0.11620691,0.10794791
109,1,0.041339453,0.053512052
111,1,0.013855533,0.014727857
112,1,0.12135856,0.11787211
113,1,0.079890594,0.099496707
115,1,0.040869884,0.041613851
116,1,0.019925885,0.01843442
117,1,0.08970654,0.080181137
118,1,0.052837506,0.056412227
119,1,0.11629602,0.12395284
120,1,0.040049274,0.05909133
121,3,0.086172871,0.054080024
122,1,0.11999786,0.11679643
123,3,0.026957456,0.015049319
124,1,0.098640762,0.11695629
125,2,0.021487432,0.026923545
126,1,0.11518356,0.12138961
127,3,0.02277766,0.014757743
128,1,0.019711442,0.024501992
129,3,0.039788187,0.026984153
130,2,0.020103414,0.016465772
131,3,0.045864917,0.036748011
132,1,0.045658529,0.035762422
134,1,0.077986233,0.11086544
135,4,0.056356385,0.040066261
136,4,0.10543031,0.11634275
137,1,0.044940829,0.063708663
138,1,0.10276745,0.11583859
139,3,0.028432839,0.028303189
140,4,0.01502702,0.018171208
141,1,0.11627097,0.11622317
142,2,0.01696879,0.014307886
143,3,0.019588534,0.013662652
144,4,0.11807854,0.11420334
145,3,0.050669212,0.036086872
